id	focus_path	why
fscrypt	.	fscrypt userspace.
fsverity-utils	.	fsverity userspace tools.
ecryptfs-utils	src	eCryptfs utilities.
gocryptfs	.	gocryptfs source.
cryfs	src	CryFS source.
encfs	encfs	EncFS source.
ima-evm-utils	src	IMA/EVM userspace source.
rsync	.	rsync source.
syncthing	lib	Syncthing core libraries.
syncthing	cmd	Syncthing commands.
restic	internal	restic internal source.
borg	src	borg source.
kopia	repo	Kopia repository implementation.
kopia	snapshot	Kopia snapshot implementation.
git-annex	.	git-annex source.
casync	src	casync source.
bup	lib	bup library source.
rocksdb	db	RocksDB DB core.
rocksdb	table	RocksDB table formats.
rocksdb	file	RocksDB file environment code.
leveldb	db	LevelDB DB core.
leveldb	table	LevelDB table formats.
pebble	.	Pebble LSM source.
badger	.	Badger LSM/value-log source.
wiredtiger	src	WiredTiger source.
sqlite	src	SQLite pager VFS WAL btree source.
lmdb	libraries/liblmdb	LMDB source.
foundationdb	fdbserver	FoundationDB server source.
foundationdb	fdbclient	FoundationDB client source.
tikv	components	TiKV components.
tikv	src	TiKV source.
rocksdb	db/blob	RocksDB blob file and value separation source.
rocksdb	db/compaction	RocksDB compaction picker job and source.
rocksdb	db/db_impl	RocksDB core DB implementation.
rocksdb	memtable	RocksDB memtable implementations.
rocksdb	env	RocksDB Env abstraction and filesystem boundary.
rocksdb	cache	RocksDB block and persistent cache source.
rocksdb	utilities/checkpoint	RocksDB checkpoint source.
rocksdb	utilities/backup	RocksDB backup engine source.
rocksdb	utilities/transactions	RocksDB transaction source.
rocksdb	utilities/persistent_cache	RocksDB persistent cache source.
leveldb	util	LevelDB Env cache logging and platform support.
leveldb	helpers/memenv	LevelDB in-memory Env implementation.
leveldb	doc/log_format.md	LevelDB WAL format reference.
badger	table	Badger SST table implementation.
badger	skl	Badger skiplist memtable.
badger	y	Badger file checksum encryption and utility primitives.
badger	fb	Badger generated table index structs needed for format reading.
pebble	objstorage	Pebble object storage provider and remote backing.
pebble	record	Pebble record and WAL block format.
pebble	sstable	Pebble SSTable implementation.
pebble	vfs	Pebble filesystem abstraction.
pebble	wal	Pebble WAL manager.
pebble	internal/manifest	Pebble manifest and version metadata.
pebble	internal/compact	Pebble compaction internals.
pebble	internal/cache	Pebble cache internals.
pebble	valsep	Pebble value separation source.
wiredtiger	src/block	WiredTiger block manager.
wiredtiger	src/btree	WiredTiger B-tree implementation.
wiredtiger	src/cache	WiredTiger cache source.
wiredtiger	src/evict	WiredTiger eviction source.
wiredtiger	src/checkpoint	WiredTiger checkpoint source.
wiredtiger	src/log	WiredTiger logging source.
wiredtiger	src/history	WiredTiger history store.
wiredtiger	src/reconcile	WiredTiger page reconciliation source.
wiredtiger	src/rollback_to_stable	WiredTiger rollback-to-stable source.
wiredtiger	src/tiered	WiredTiger tiered storage source.
wiredtiger	ext/storage_sources/dir_store	WiredTiger storage source extension example.
sqlite	ext/misc	SQLite VFS tracing checksum and custom backing examples.
sqlite	src/pager.c	SQLite pager crash-consistency source.
sqlite	src/wal.c	SQLite WAL source.
sqlite	src/pcache.c	SQLite page cache source.
sqlite	src/os_unix.c	SQLite Unix VFS implementation.
foundationdb	fdbserver/kvstore	FoundationDB local KV stores disk queue async VFS and VersionedBTree.
foundationdb	fdbserver/logsystem	FoundationDB distributed log system.
foundationdb	fdbserver/tlog	FoundationDB transaction log server.
foundationdb	fdbserver/storageserver	FoundationDB storage server source.
foundationdb	fdbserver/datadistributor	FoundationDB shard movement and data distribution.
foundationdb	fdbclient/MutationLogReader.cpp	FoundationDB mutation log reader.
foundationdb	fdbclient/StorageCheckpoint.cpp	FoundationDB storage checkpoint source.
foundationdb	fdbclient/AsyncFileBlobStore.cpp	FoundationDB async file blob store.
foundationdb	fdbclient/S3BlobStore.cpp	FoundationDB S3 blob store.
foundationdb	fdbclient/GCSBlobStore.cpp	FoundationDB GCS blob store.
tikv	components/raftstore/src	TiKV raftstore v1 replicated region storage.
tikv	components/raftstore-v2/src	TiKV raftstore v2 replicated region storage.
tikv	components/raft_log_engine/src	TiKV raft log engine adapter.
tikv	components/engine_traits/src	TiKV storage engine traits.
tikv	components/engine_rocks/src	TiKV RocksDB engine wrapper.
tikv	components/file_system/src	TiKV filesystem wrapper and IO stats.
tikv	components/sst_importer/src	TiKV SST import source.
tikv	components/snap_recovery/src	TiKV snapshot recovery source.
tikv	components/external_storage/src	TiKV external storage abstraction.
tikv	components/cloud/src	TiKV cloud object storage abstraction.
tikv	src/storage	TiKV MVCC storage path.
tikv	src/server/raftkv	TiKV raftkv server integration.
tikv	src/server/raftkv2	TiKV raftkv2 server integration.
raft-engine	src	TiKV standalone raft log engine source.
xfsdump	.	XFS dump restore source.
util-linux	sys-utils	mount umount findmnt losetup and block tools.
util-linux	libmount	libmount source.
util-linux	libblkid	libblkid source.
mdadm	.	mdadm source.
parted	libparted	GNU parted library.
parted	parted	GNU parted command source.
s3fs-fuse	src	S3FS FUSE source.
gcsfuse	.	GCSFuse source.
blobfuse2	.	BlobFuse2 source.
mergerfs	src	MergerFS source.
go-nfs	.	Go NFS source.
libsmb2	lib	libsmb2 source.
impacket	impacket	Impacket protocol source.
smbj	src	SMBJ source.
smblibrary	SMBLibrary	SMBLibrary source.
longhorn	app	Longhorn manager source.
longhorn-engine	.	Longhorn engine source.
csi-spec	spec	CSI spec source.
csi-spec	csi.proto	CSI protobuf source.
mayastor	io-engine	Mayastor SPDK-backed IO engine.
mayastor	control-plane	Mayastor control plane.
csi-driver-nfs	pkg	NFS CSI driver implementation.
csi-driver-smb	pkg	SMB CSI driver implementation.
csi-driver-iscsi	pkg	iSCSI CSI driver implementation.
csi-driver-host-path	.	CSI hostpath reference driver.
external-snapshotter	.	CSI external snapshotter source.
csi-lib-utils	.	CSI utility source.
overlayfs-tools	.	OverlayFS tools source.
fuse-overlayfs-snapshotter	.	fuse-overlayfs snapshotter source.
nydus-snapshotter	.	Nydus snapshotter source.
composefs-rs	.	Rust composefs source.
moby	daemon/graphdriver	Docker graphdriver source.
moby	layer	Docker layer source.
buildkit	cache	BuildKit cache source.
buildkit	snapshot	BuildKit snapshot source.
cri-o	internal	CRI-O internal rootfs/storage source.
overlaybd	.	OverlayBD source.
nbd	.	NBD source.
libguestfs	daemon	libguestfs daemon source.
libguestfs	lib	libguestfs library source.
guestfs-tools	.	guestfs tools source.
libblockdev	src	libblockdev source.
nvme-cli	.	nvme-cli source.
xfstests-bld	.	xfstests-bld source.
crashmonkey	.	CrashMonkey source.
filebench	.	filebench source.
fs-mark	.	fs_mark source.
ior	src	IOR source.
unionmount-testsuite	.	union mount tests.
pynfs	.	pynfs source.
cthon04	.	cthon04 source.
kdevops	.	kdevops source.
liburing	src	liburing source.
mtd-utils	.	MTD utilities source.
strace	src	strace source.
lcov	bin	lcov scripts.
acl	.	ACL userspace source.
attr	.	attr userspace source.
libcap	.	libcap source.
keyutils	.	keyutils source.
selinux	libselinux	SELinux library source.
selinux	policycoreutils	SELinux policy tools.
audit-userspace	.	Audit userspace source.
unison	src	Unison source.
git-lfs	.	Git LFS source.
git-crypt	.	git-crypt source.
zstd	lib	zstd library source.
xz	src	xz source.
lz4	lib	LZ4 library source.
zlib	.	zlib source.
syzkaller	.	syzkaller source.
xnu	bsd/vfs	Darwin/XNU VFS source.
macfuse	kext	macFUSE kernel extension source.
macfuse	lib	macFUSE library source.
ocfs2-tools	.	OCFS2 userspace tools.
gfs2-utils	.	GFS2 userspace tools.
dlm	.	Distributed lock manager userspace.
libtirpc	.	TIRPC source for NFS userspace dependency closure.
rpcbind	.	RPC bind source for NFS userspace dependency closure.
