tier	category	id	path	url	recurse	default_count	notes
important	user-network-fs	s3fs-fuse	sources/user-network-fs/s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse.git	no	yes	S3 object-store filesystem via FUSE.
important	user-network-fs	gcsfuse	sources/user-network-fs/gcsfuse	https://github.com/GoogleCloudPlatform/gcsfuse.git	no	yes	Google Cloud Storage FUSE implementation.
important	user-network-fs	blobfuse2	sources/user-network-fs/blobfuse2	https://github.com/Azure/azure-storage-fuse.git	no	yes	Azure Storage FUSE implementation.
important	user-network-fs	mergerfs	sources/user-network-fs/mergerfs	https://github.com/trapexit/mergerfs.git	no	yes	Policy-heavy FUSE union filesystem.
required	user-network-fs	nfs-utils	sources/user-network-fs/nfs-utils	https://github.com/linux-nfs/nfs-utils.git	no	yes	Linux NFS mountd statd idmapd and client/server utilities.
required	user-network-fs	nfs-ganesha	sources/user-network-fs/nfs-ganesha	https://github.com/nfs-ganesha/nfs-ganesha.git	no	yes	User-space NFS server and FSAL architecture.
important	user-network-fs	libnfs	sources/user-network-fs/libnfs	https://github.com/sahlberg/libnfs.git	no	yes	User-space NFS client library.
adjacent	user-network-fs	go-nfs	sources/user-network-fs/go-nfs	https://github.com/willscott/go-nfs.git	no	no	Small Go NFS server/library for protocol reading.
required	user-network-fs	samba	sources/user-network-fs/samba	https://github.com/samba-team/samba.git	no	yes	SMB/CIFS server client VFS modules and protocol stack.
required	user-network-fs	cifs-utils	sources/user-network-fs/cifs-utils	https://git.samba.org/cifs-utils.git	no	yes	Linux CIFS mount tools.
important	user-network-fs	ksmbd-tools	sources/user-network-fs/ksmbd-tools	https://github.com/cifsd-team/ksmbd-tools.git	no	yes	Userspace tools for in-kernel SMB server.
important	user-network-fs	libsmb2	sources/user-network-fs/libsmb2	https://github.com/sahlberg/libsmb2.git	no	yes	Compact SMB2/3 client library.
important	user-network-fs	impacket	sources/user-network-fs/impacket	https://github.com/fortra/impacket.git	no	yes	Python SMB/RPC protocol implementation useful for packet-level study.
adjacent	user-network-fs	smbj	sources/user-network-fs/smbj	https://github.com/hierynomus/smbj.git	no	no	Java SMB2/3 client implementation.
adjacent	user-network-fs	smblibrary	sources/user-network-fs/smblibrary	https://github.com/TalAloni/SMBLibrary.git	no	no	C# SMB client/server implementation.
important	user-network-fs	davfs2	sources/user-network-fs/davfs2	https://github.com/alisarctl/davfs2.git	no	yes	WebDAV filesystem mount implementation.
adjacent	user-network-fs	rclone	sources/user-network-fs/rclone	https://github.com/rclone/rclone.git	no	no	Cloud storage FUSE/mount semantics and sync engine.
required	distributed-fs	ceph	sources/distributed-fs/ceph	https://github.com/ceph/ceph.git	yes	yes	CephFS MDS clients RADOS OSD MON and RGW context.
important	distributed-fs	ceph-client	sources/distributed-fs/ceph-client	https://github.com/ceph/ceph-client.git	no	no	Ceph kernel client standalone mirror.
required	distributed-fs	glusterfs	sources/distributed-fs/glusterfs	https://github.com/gluster/glusterfs.git	no	yes	GlusterFS translators RPC daemons and FUSE/native clients.
required	distributed-fs	lustre-release	sources/distributed-fs/lustre-release	https://github.com/lustre/lustre-release.git	no	yes	Lustre client server LNet ptlrpc MDT OST LLite source.
required	distributed-fs	beegfs	sources/distributed-fs/beegfs	https://github.com/ThinkParQ/beegfs.git	no	yes	BeeGFS C/C++ metadata storage client module fsck.
important	distributed-fs	beegfs-rust	sources/distributed-fs/beegfs-rust	https://github.com/ThinkParQ/beegfs-rust.git	no	yes	BeeGFS newer Rust management components.
important	distributed-fs	beegfs-go	sources/distributed-fs/beegfs-go	https://github.com/ThinkParQ/beegfs-go.git	no	yes	BeeGFS Go CLI and management libraries.
important	distributed-fs	beegfs-protobuf	sources/distributed-fs/beegfs-protobuf	https://github.com/ThinkParQ/protobuf.git	no	no	BeeGFS protocol definitions.
required	distributed-fs	moosefs	sources/distributed-fs/moosefs	https://github.com/moosefs/moosefs.git	no	yes	MooseFS master chunkserver client implementation.
important	distributed-fs	lizardfs	sources/distributed-fs/lizardfs	https://github.com/lizardfs/lizardfs.git	no	yes	MooseFS-family distributed filesystem fork.
important	distributed-fs	orangefs	sources/distributed-fs/orangefs	https://github.com/waltligon/orangefs.git	no	yes	OrangeFS/PVFS parallel filesystem source.
required	distributed-fs	hadoop	sources/distributed-fs/hadoop	https://gitbox.apache.org/repos/asf/hadoop.git	no	yes	HDFS and shared Hadoop storage/client code.
required	distributed-fs	alluxio	sources/distributed-fs/alluxio	https://github.com/Alluxio/alluxio.git	no	yes	Virtual distributed filesystem and cache layer.
required	distributed-fs	juicefs	sources/distributed-fs/juicefs	https://github.com/juicedata/juicefs.git	no	yes	POSIX filesystem over metadata DB and object storage.
required	distributed-fs	seaweedfs	sources/distributed-fs/seaweedfs	https://github.com/seaweedfs/seaweedfs.git	no	yes	Filer volume server S3 gateway and filesystem mount.
important	distributed-fs	openafs	sources/distributed-fs/openafs	https://github.com/openafs/openafs.git	no	yes	AFS distributed filesystem implementation.
important	distributed-fs	coda	sources/distributed-fs/coda	https://github.com/cmusatyalab/coda.git	no	yes	Coda disconnected operation distributed filesystem.
important	distributed-fs	xrootd	sources/distributed-fs/xrootd	https://github.com/xrootd/xrootd.git	no	yes	XRootD storage federation and file access.
important	distributed-fs	eos	sources/distributed-fs/eos	https://gitlab.cern.ch/dss/eos.git	no	yes	CERN EOS distributed disk storage and namespace.
adjacent	distributed-fs	tahoe-lafs	sources/distributed-fs/tahoe-lafs	https://github.com/tahoe-lafs/tahoe-lafs.git	no	no	Capability-secure distributed filesystem.
adjacent	distributed-fs	ipfs-kubo	sources/distributed-fs/ipfs-kubo	https://github.com/ipfs/kubo.git	no	no	Content-addressed distributed file graph; not POSIX.
required	object-store	minio	sources/object-store/minio	https://github.com/minio/minio.git	no	yes	S3-compatible object storage source; track maintenance caveat.
important	object-store	minio-mc	sources/object-store/minio-mc	https://github.com/minio/mc.git	no	yes	S3/minio file-style client and mirror/diff/admin flows.
required	object-store	openstack-swift	sources/object-store/openstack-swift	https://opendev.org/openstack/swift.git	no	yes	OpenStack Swift distributed object storage canonical source.
required	object-store	apache-ozone	sources/object-store/apache-ozone	https://github.com/apache/ozone.git	no	yes	Hadoop object store and Ozone Manager/DataNode code.
required	object-store	daos	sources/object-store/daos	https://github.com/daos-stack/daos.git	yes	yes	HPC distributed object store and VOS engine.
important	object-store	garage	sources/object-store/garage	https://git.deuxfleurs.fr/Deuxfleurs/garage.git	no	yes	Geo-distributed S3-compatible object store.
important	object-store	rustfs	sources/object-store/rustfs	https://github.com/rustfs/rustfs.git	no	yes	Rust S3-compatible object storage implementation.
important	control-plane	rook	sources/control-plane/rook	https://github.com/rook/rook.git	no	yes	CephFS/RBD Kubernetes operator and orchestration source.
important	control-plane	longhorn	sources/control-plane/longhorn	https://github.com/longhorn/longhorn.git	no	yes	Kubernetes distributed block storage source for FS-on-distributed-block study.
important	control-plane	ceph-csi	sources/control-plane/ceph-csi	https://github.com/ceph/ceph-csi.git	no	yes	CephFS/RBD CSI provisioning mount snapshot source.
important	control-plane	beegfs-csi-driver	sources/control-plane/beegfs-csi-driver	https://github.com/ThinkParQ/beegfs-csi-driver.git	no	yes	BeeGFS CSI driver source.
important	control-plane	juicefs-csi-driver	sources/control-plane/juicefs-csi-driver	https://github.com/juicedata/juicefs-csi-driver.git	no	yes	JuiceFS CSI driver source.
important	control-plane	csi-spec	sources/control-plane/csi-spec	https://github.com/container-storage-interface/spec.git	no	no	CSI protobuf/interface source for direct storage drivers.
important	control-plane	mayastor	sources/control-plane/mayastor	https://github.com/openebs/mayastor.git	no	no	SPDK-backed Kubernetes storage engine and CSI data-path source.
important	control-plane	csi-driver-nfs	sources/control-plane/csi-driver-nfs	https://github.com/kubernetes-csi/csi-driver-nfs.git	no	no	NFS CSI driver source.
important	control-plane	csi-driver-smb	sources/control-plane/csi-driver-smb	https://github.com/kubernetes-csi/csi-driver-smb.git	no	no	SMB CSI driver source.
important	control-plane	csi-driver-iscsi	sources/control-plane/csi-driver-iscsi	https://github.com/kubernetes-csi/csi-driver-iscsi.git	no	no	iSCSI CSI driver source for block-backed filesystem study.
important	control-plane	longhorn-engine	sources/control-plane/longhorn-engine	https://github.com/longhorn/longhorn-engine.git	no	no	Longhorn replicated block engine source.
adjacent	control-plane	csi-driver-host-path	sources/control-plane/csi-driver-host-path	https://github.com/kubernetes-csi/csi-driver-host-path.git	no	no	Reference CSI hostpath driver.
adjacent	control-plane	external-snapshotter	sources/control-plane/external-snapshotter	https://github.com/kubernetes-csi/external-snapshotter.git	no	no	CSI snapshot sidecar source.
adjacent	control-plane	csi-lib-utils	sources/control-plane/csi-lib-utils	https://github.com/kubernetes-csi/csi-lib-utils.git	no	no	CSI shared utility source.
required	cloud-native	fuse-overlayfs	sources/cloud-native/fuse-overlayfs	https://github.com/containers/fuse-overlayfs.git	no	yes	FUSE implementation of overlay semantics.
important	cloud-native	overlayfs-tools	sources/cloud-native/overlayfs-tools	https://github.com/kmxz/overlayfs-tools.git	no	yes	OverlayFS inspection and debugging tools.
important	cloud-native	fuse-overlayfs-snapshotter	sources/cloud-native/fuse-overlayfs-snapshotter	https://github.com/containerd/fuse-overlayfs-snapshotter.git	no	yes	containerd snapshotter integration for fuse-overlayfs.
required	cloud-native	containers-storage	sources/cloud-native/containers-storage	https://github.com/containers/storage.git	no	yes	Container storage graph drivers and layer metadata.
required	cloud-native	containerd	sources/cloud-native/containerd	https://github.com/containerd/containerd.git	no	yes	Snapshotter interfaces and overlay/native storage paths.
important	cloud-native	stargz-snapshotter	sources/cloud-native/stargz-snapshotter	https://github.com/containerd/stargz-snapshotter.git	no	yes	Lazy-pull eStargz filesystem/snapshotter.
important	cloud-native	nydus	sources/cloud-native/nydus	https://github.com/dragonflyoss/nydus.git	no	yes	Lazy image filesystem and RAFS implementation.
important	cloud-native	nydus-snapshotter	sources/cloud-native/nydus-snapshotter	https://github.com/containerd/nydus-snapshotter.git	no	yes	containerd snapshotter integration for Nydus.
important	cloud-native	soci-snapshotter	sources/cloud-native/soci-snapshotter	https://github.com/awslabs/soci-snapshotter.git	no	yes	Seekable OCI snapshotter source.
important	cloud-native	composefs	sources/cloud-native/composefs	https://github.com/composefs/composefs.git	no	yes	Composable content-addressed filesystem images.
important	cloud-native	composefs-rs	sources/cloud-native/composefs-rs	https://github.com/composefs/composefs-rs.git	no	yes	Rust composefs tooling and library source.
adjacent	cloud-native	moby	sources/cloud-native/moby	https://github.com/moby/moby.git	no	no	Docker graphdriver and overlay2 integration source.
adjacent	cloud-native	buildkit	sources/cloud-native/buildkit	https://github.com/moby/buildkit.git	no	no	Build cache snapshot and content store source.
adjacent	cloud-native	cri-o	sources/cloud-native/cri-o	https://github.com/cri-o/cri-o.git	no	no	CRI-O rootfs and container storage integration source.
adjacent	cloud-native	overlaybd	sources/cloud-native/overlaybd	https://github.com/containerd/overlaybd.git	no	no	Block-based remote image snapshotter source.
required	cloud-native	ostree	sources/cloud-native/ostree	https://github.com/ostreedev/ostree.git	no	yes	Content-addressed filesystem tree deployment.
required	virtualization	qemu	sources/virtualization/qemu	https://gitlab.com/qemu-project/qemu.git	no	yes	Block layer qcow2 NBD virtiofs historical source.
important	virtualization	virtiofsd	sources/virtualization/virtiofsd	https://gitlab.com/virtio-fs/virtiofsd.git	no	yes	Standalone virtiofs daemon if upstream remains available.
required	virtualization	spdk	sources/virtualization/spdk	https://github.com/spdk/spdk.git	yes	yes	User-space NVMe/blobstore/block storage stack.
important	virtualization	nbd	sources/virtualization/nbd	https://github.com/NetworkBlockDevice/nbd.git	no	yes	NBD client/server source.
important	virtualization	nbdkit	sources/virtualization/nbdkit	https://gitlab.com/nbdkit/nbdkit.git	no	yes	NBD server plugins and filters.
important	virtualization	libnbd	sources/virtualization/libnbd	https://gitlab.com/nbdkit/libnbd.git	no	yes	NBD client library and tooling.
important	virtualization	open-iscsi	sources/virtualization/open-iscsi	https://github.com/open-iscsi/open-iscsi.git	no	no	iSCSI block-storage path adjacent to remote FS.
important	virtualization	libguestfs	sources/virtualization/libguestfs	https://github.com/libguestfs/libguestfs.git	no	yes	Guest filesystem image inspection and modification source.
important	virtualization	guestfs-tools	sources/virtualization/guestfs-tools	https://github.com/libguestfs/guestfs-tools.git	no	yes	Guest filesystem image tools.
important	virtualization	libblockdev	sources/virtualization/libblockdev	https://github.com/storaged-project/libblockdev.git	no	yes	Block-device operation library.
important	virtualization	nvme-cli	sources/virtualization/nvme-cli	https://github.com/linux-nvme/nvme-cli.git	no	yes	NVMe admin and test tooling.
required	test-tools	xfstests	sources/test-tools/xfstests	https://git.kernel.org/pub/scm/fs/xfs/xfstests-dev.git	no	yes	Filesystem regression tests fsstress fsx and generic FS coverage.
important	test-tools	xfstests-bld	sources/test-tools/xfstests-bld	https://github.com/tytso/xfstests-bld.git	no	no	xfstests automation and VM flows.
required	test-tools	blktests	sources/test-tools/blktests	https://github.com/osandov/blktests.git	no	yes	Block layer and NVMe regression tests.
required	test-tools	fio	sources/test-tools/fio	https://github.com/axboe/fio.git	no	yes	Filesystem and block I/O workload generator source.
required	test-tools	ltp	sources/test-tools/ltp	https://github.com/linux-test-project/ltp.git	no	yes	Linux syscall/fs stress and conformance tests.
important	test-tools	pjdfstest	sources/test-tools/pjdfstest	https://github.com/pjd/pjdfstest.git	no	yes	POSIX filesystem behavior tests.
important	test-tools	crashmonkey	sources/test-tools/crashmonkey	https://github.com/utsaslab/crashmonkey.git	no	no	Crash-consistency testing source.
important	test-tools	filebench	sources/test-tools/filebench	https://github.com/filebench/filebench.git	no	no	Filesystem workload benchmark source.
important	test-tools	fs-mark	sources/test-tools/fs-mark	https://github.com/josefbacik/fs_mark.git	no	no	Metadata benchmark source.
important	test-tools	ior	sources/test-tools/ior	https://github.com/hpc/ior.git	no	no	HPC parallel I/O benchmark source.
important	test-tools	unionmount-testsuite	sources/test-tools/unionmount-testsuite	https://github.com/amir73il/unionmount-testsuite.git	no	no	Overlay/union mount behavior tests.
important	test-tools	pynfs	sources/test-tools/pynfs	https://github.com/linux-nfs/pynfs.git	no	no	NFSv4 protocol tests.
important	test-tools	cthon04	sources/test-tools/cthon04	https://github.com/phdeniel/cthon04.git	no	no	Legacy NFS interoperability tests.
important	test-tools	kdevops	sources/test-tools/kdevops	https://github.com/linux-kdevops/kdevops.git	no	no	Kernel and filesystem test automation source.
important	test-tools	liburing	sources/test-tools/liburing	https://github.com/axboe/liburing.git	no	no	io_uring library and tests.
important	local-fs	mtd-utils	sources/local-fs/mtd-utils	https://git.kernel.org/pub/scm/linux/kernel/git/rw/mtd-utils.git	no	yes	MTD UBI UBIFS JFFS2 userspace tools.
important	test-tools	strace	sources/test-tools/strace	https://github.com/strace/strace.git	no	no	Syscall tracing source useful for VFS behavior observation.
important	test-tools	lcov	sources/test-tools/lcov	https://github.com/linux-test-project/lcov.git	no	no	Coverage tooling source.
important	test-tools	stress-ng	sources/test-tools/stress-ng	https://github.com/ColinIanKing/stress-ng.git	no	no	Stress workload source with filesystem stressors.
important	test-tools	iozone	sources/test-tools/iozone	https://github.com/pantheon-systems/iozone.git	no	no	Filesystem benchmark source; public Git mirror.
required	security-integrity	fscrypt	sources/security-integrity/fscrypt	https://github.com/google/fscrypt.git	no	yes	Linux filesystem encryption userspace.
required	security-integrity	fsverity-utils	sources/security-integrity/fsverity-utils	https://git.kernel.org/pub/scm/fs/fsverity/fsverity-utils.git	no	yes	fs-verity userspace signing and measurement tools.
important	security-integrity	ecryptfs-utils	sources/security-integrity/ecryptfs-utils	https://github.com/dustinkirkland/ecryptfs-utils.git	no	yes	eCryptfs userspace utilities.
important	security-integrity	gocryptfs	sources/security-integrity/gocryptfs	https://github.com/rfjakob/gocryptfs.git	no	yes	Encrypted FUSE filesystem.
important	security-integrity	cryfs	sources/security-integrity/cryfs	https://github.com/cryfs/cryfs.git	no	yes	Encrypted cloud-oriented FUSE filesystem.
important	security-integrity	encfs	sources/security-integrity/encfs	https://github.com/vgough/encfs.git	no	yes	Historical encrypted FUSE filesystem.
important	security-integrity	ima-evm-utils	sources/security-integrity/ima-evm-utils	https://github.com/linux-integrity/ima-evm-utils.git	no	yes	Linux IMA/EVM file integrity userspace.
important	security-integrity	acl	sources/security-integrity/acl	https://git.savannah.nongnu.org/git/acl.git	no	yes	POSIX ACL userspace library and tools.
important	security-integrity	attr	sources/security-integrity/attr	https://git.savannah.nongnu.org/git/attr.git	no	yes	Extended attributes library and tools.
important	security-integrity	libcap	sources/security-integrity/libcap	https://git.kernel.org/pub/scm/libs/libcap/libcap.git	no	yes	Linux file capabilities and capability utilities.
important	security-integrity	keyutils	sources/security-integrity/keyutils	https://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git	no	yes	Linux key retention service userspace.
important	security-integrity	selinux	sources/security-integrity/selinux	https://github.com/SELinuxProject/selinux.git	no	yes	SELinux labels policy loading and file context source.
important	security-integrity	audit-userspace	sources/security-integrity/audit-userspace	https://github.com/linux-audit/audit-userspace.git	no	yes	Audit userspace for file access and security event semantics.
required	sync-backup	rsync	sources/sync-backup/rsync	https://github.com/RsyncProject/rsync.git	no	yes	File-tree delta transfer and metadata preservation.
required	sync-backup	syncthing	sources/sync-backup/syncthing	https://github.com/syncthing/syncthing.git	no	yes	Distributed file synchronization semantics.
important	sync-backup	restic	sources/sync-backup/restic	https://github.com/restic/restic.git	no	yes	Content-addressed backup repository source.
important	sync-backup	borg	sources/sync-backup/borg	https://github.com/borgbackup/borg.git	no	yes	Deduplicating encrypted backup filesystem-like repository.
important	sync-backup	kopia	sources/sync-backup/kopia	https://github.com/kopia/kopia.git	no	yes	Content-addressed backup and snapshot source.
important	sync-backup	git-annex	sources/sync-backup/git-annex	https://git.joeyh.name/git/git-annex.git	no	yes	File tree indirection and distributed content management.
important	sync-backup	casync	sources/sync-backup/casync	https://github.com/systemd/casync.git	no	no	Content-addressed synchronization source.
important	sync-backup	unison	sources/sync-backup/unison	https://github.com/bcpierce00/unison.git	no	yes	Bidirectional file tree reconciliation source.
