name	url	path	tier	category	recurse	default_count
e2fsprogs	https://git.kernel.org/pub/scm/fs/ext2/e2fsprogs.git	sources/local-fs/e2fsprogs	required	local-fs	no	yes
xfsprogs	https://git.kernel.org/pub/scm/fs/xfs/xfsprogs-dev.git	sources/local-fs/xfsprogs	required	local-fs	no	yes
xfsdump	https://git.kernel.org/pub/scm/fs/xfs/xfsdump-dev.git	sources/local-fs/xfsdump	important	local-fs	no	yes
btrfs-progs	https://github.com/kdave/btrfs-progs.git	sources/local-fs/btrfs-progs	required	local-fs	no	yes
btrfs-linux	https://github.com/btrfs/linux.git	sources/local-fs/btrfs-linux	important	local-fs	no	yes
kdave-linux	https://git.kernel.org/pub/scm/linux/kernel/git/kdave/linux.git	sources/local-fs/kdave-linux	important	local-fs	no	no
f2fs-tools	https://git.kernel.org/pub/scm/linux/kernel/git/jaegeuk/f2fs-tools.git	sources/local-fs/f2fs-tools	required	local-fs	no	yes
erofs-utils	https://git.kernel.org/pub/scm/linux/kernel/git/xiang/erofs-utils.git	sources/local-fs/erofs-utils	required	local-fs	no	yes
dosfstools	https://github.com/dosfstools/dosfstools.git	sources/local-fs/dosfstools	required	local-fs	no	yes
exfatprogs	https://github.com/exfatprogs/exfatprogs.git	sources/local-fs/exfatprogs	required	local-fs	no	yes
ntfs-3g	https://github.com/tuxera/ntfs-3g.git	sources/local-fs/ntfs-3g	required	local-fs	no	yes
udftools	https://github.com/pali/udftools.git	sources/local-fs/udftools	important	local-fs	no	yes
jfsutils	https://github.com/SudoMaker/jfsutils.git	sources/local-fs/jfsutils	important	local-fs	no	yes
reiserfsprogs	https://git.kernel.org/pub/scm/linux/kernel/git/jeffm/reiserfsprogs.git	sources/local-fs/reiserfsprogs	adjacent	local-fs	no	no
squashfs-tools	https://github.com/plougher/squashfs-tools.git	sources/local-fs/squashfs-tools	important	local-fs	no	yes
apfs-fuse	https://github.com/sgan81/apfs-fuse.git	sources/local-fs/apfs-fuse	adjacent	local-fs	no	no
linux-apfs-rw	https://github.com/linux-apfs/linux-apfs-rw.git	sources/local-fs/linux-apfs-rw	adjacent	local-fs	no	no
openzfs	https://github.com/openzfs/zfs.git	sources/cow-pools/openzfs	required	cow-pools	no	yes
bcachefs	https://github.com/koverstreet/bcachefs.git	sources/cow-pools/bcachefs	required	cow-pools	no	yes
bcachefs-tools	https://github.com/koverstreet/bcachefs-tools.git	sources/cow-pools/bcachefs-tools	required	cow-pools	no	yes
nilfs-utils	https://github.com/nilfs-dev/nilfs-utils.git	sources/cow-pools/nilfs-utils	required	cow-pools	no	yes
nilfs2-kmod10	https://github.com/nilfs-dev/nilfs2-kmod10.git	sources/cow-pools/nilfs2-kmod10	important	cow-pools	no	no
bcache-tools	https://git.kernel.org/pub/scm/linux/kernel/git/colyli/bcache-tools.git	sources/block-storage/bcache-tools	required	block-storage	no	yes
util-linux	https://github.com/util-linux/util-linux.git	sources/block-storage/util-linux	important	block-storage	no	yes
mdadm	https://git.kernel.org/pub/scm/utils/mdadm/mdadm.git	sources/block-storage/mdadm	important	block-storage	no	yes
parted	https://git.savannah.gnu.org/git/parted.git	sources/block-storage/parted	important	block-storage	no	yes
linux-dm	https://git.kernel.org/pub/scm/linux/kernel/git/device-mapper/linux-dm.git	sources/block-storage/linux-dm	important	block-storage	no	no
lvm2	https://gitlab.com/lvmteam/lvm2.git	sources/block-storage/lvm2	required	block-storage	no	yes
thin-provisioning-tools	https://github.com/device-mapper-utils/thin-provisioning-tools.git	sources/block-storage/thin-provisioning-tools	required	block-storage	no	yes
cryptsetup	https://gitlab.com/cryptsetup/cryptsetup.git	sources/block-storage/cryptsetup	required	block-storage	no	yes
vdo	https://github.com/dm-vdo/vdo.git	sources/block-storage/vdo	important	block-storage	no	yes
kvdo	https://github.com/dm-vdo/kvdo.git	sources/block-storage/kvdo	important	block-storage	no	no
stratisd	https://github.com/stratis-storage/stratisd.git	sources/block-storage/stratisd	important	block-storage	no	yes
stratis-cli	https://github.com/stratis-storage/stratis-cli.git	sources/block-storage/stratis-cli	important	block-storage	no	yes
devicemapper-rs	https://github.com/stratis-storage/devicemapper-rs.git	sources/block-storage/devicemapper-rs	adjacent	block-storage	no	no
libcryptsetup-rs	https://github.com/stratis-storage/libcryptsetup-rs.git	sources/block-storage/libcryptsetup-rs	adjacent	block-storage	no	no
libblkid-rs	https://github.com/stratis-storage/libblkid-rs.git	sources/block-storage/libblkid-rs	adjacent	block-storage	no	no
libfuse	https://github.com/libfuse/libfuse.git	sources/user-network-fs/libfuse	required	user-network-fs	no	yes
sshfs	https://github.com/libfuse/sshfs.git	sources/user-network-fs/sshfs	required	user-network-fs	no	yes
go-fuse	https://github.com/hanwen/go-fuse.git	sources/user-network-fs/go-fuse	important	user-network-fs	no	yes
bazil-fuse	https://github.com/bazil/fuse.git	sources/user-network-fs/bazil-fuse	important	user-network-fs	no	yes
pyfuse3	https://github.com/libfuse/pyfuse3.git	sources/user-network-fs/pyfuse3	important	user-network-fs	no	yes
fusepy	https://github.com/fusepy/fusepy.git	sources/user-network-fs/fusepy	important	user-network-fs	no	no
s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse.git	sources/user-network-fs/s3fs-fuse	important	user-network-fs	no	yes
gcsfuse	https://github.com/GoogleCloudPlatform/gcsfuse.git	sources/user-network-fs/gcsfuse	important	user-network-fs	no	yes
blobfuse2	https://github.com/Azure/azure-storage-fuse.git	sources/user-network-fs/blobfuse2	important	user-network-fs	no	yes
mergerfs	https://github.com/trapexit/mergerfs.git	sources/user-network-fs/mergerfs	important	user-network-fs	no	yes
nfs-utils	https://github.com/linux-nfs/nfs-utils.git	sources/user-network-fs/nfs-utils	required	user-network-fs	no	yes
nfs-ganesha	https://github.com/nfs-ganesha/nfs-ganesha.git	sources/user-network-fs/nfs-ganesha	required	user-network-fs	no	yes
libnfs	https://github.com/sahlberg/libnfs.git	sources/user-network-fs/libnfs	important	user-network-fs	no	yes
go-nfs	https://github.com/willscott/go-nfs.git	sources/user-network-fs/go-nfs	adjacent	user-network-fs	no	no
samba	https://github.com/samba-team/samba.git	sources/user-network-fs/samba	required	user-network-fs	no	yes
cifs-utils	https://git.samba.org/cifs-utils.git	sources/user-network-fs/cifs-utils	required	user-network-fs	no	yes
ksmbd-tools	https://github.com/cifsd-team/ksmbd-tools.git	sources/user-network-fs/ksmbd-tools	important	user-network-fs	no	yes
libsmb2	https://github.com/sahlberg/libsmb2.git	sources/user-network-fs/libsmb2	important	user-network-fs	no	yes
impacket	https://github.com/fortra/impacket.git	sources/user-network-fs/impacket	important	user-network-fs	no	yes
smbj	https://github.com/hierynomus/smbj.git	sources/user-network-fs/smbj	adjacent	user-network-fs	no	no
smblibrary	https://github.com/TalAloni/SMBLibrary.git	sources/user-network-fs/smblibrary	adjacent	user-network-fs	no	no
davfs2	https://github.com/alisarctl/davfs2.git	sources/user-network-fs/davfs2	important	user-network-fs	no	yes
rclone	https://github.com/rclone/rclone.git	sources/user-network-fs/rclone	adjacent	user-network-fs	no	no
ceph	https://github.com/ceph/ceph.git	sources/distributed-fs/ceph	required	distributed-fs	yes	yes
ceph-client	https://github.com/ceph/ceph-client.git	sources/distributed-fs/ceph-client	important	distributed-fs	no	no
glusterfs	https://github.com/gluster/glusterfs.git	sources/distributed-fs/glusterfs	required	distributed-fs	no	yes
lustre-release	https://github.com/lustre/lustre-release.git	sources/distributed-fs/lustre-release	required	distributed-fs	no	yes
beegfs	https://github.com/ThinkParQ/beegfs.git	sources/distributed-fs/beegfs	required	distributed-fs	no	yes
beegfs-rust	https://github.com/ThinkParQ/beegfs-rust.git	sources/distributed-fs/beegfs-rust	important	distributed-fs	no	yes
beegfs-go	https://github.com/ThinkParQ/beegfs-go.git	sources/distributed-fs/beegfs-go	important	distributed-fs	no	yes
beegfs-protobuf	https://github.com/ThinkParQ/protobuf.git	sources/distributed-fs/beegfs-protobuf	important	distributed-fs	no	no
moosefs	https://github.com/moosefs/moosefs.git	sources/distributed-fs/moosefs	required	distributed-fs	no	yes
lizardfs	https://github.com/lizardfs/lizardfs.git	sources/distributed-fs/lizardfs	important	distributed-fs	no	yes
orangefs	https://github.com/waltligon/orangefs.git	sources/distributed-fs/orangefs	important	distributed-fs	no	yes
hadoop	https://gitbox.apache.org/repos/asf/hadoop.git	sources/distributed-fs/hadoop	required	distributed-fs	no	yes
alluxio	https://github.com/Alluxio/alluxio.git	sources/distributed-fs/alluxio	required	distributed-fs	no	yes
juicefs	https://github.com/juicedata/juicefs.git	sources/distributed-fs/juicefs	required	distributed-fs	no	yes
seaweedfs	https://github.com/seaweedfs/seaweedfs.git	sources/distributed-fs/seaweedfs	required	distributed-fs	no	yes
openafs	https://github.com/openafs/openafs.git	sources/distributed-fs/openafs	important	distributed-fs	no	yes
coda	https://github.com/cmusatyalab/coda.git	sources/distributed-fs/coda	important	distributed-fs	no	yes
xrootd	https://github.com/xrootd/xrootd.git	sources/distributed-fs/xrootd	important	distributed-fs	no	yes
eos	https://gitlab.cern.ch/dss/eos.git	sources/distributed-fs/eos	important	distributed-fs	no	yes
tahoe-lafs	https://github.com/tahoe-lafs/tahoe-lafs.git	sources/distributed-fs/tahoe-lafs	adjacent	distributed-fs	no	no
ipfs-kubo	https://github.com/ipfs/kubo.git	sources/distributed-fs/ipfs-kubo	adjacent	distributed-fs	no	no
minio	https://github.com/minio/minio.git	sources/object-store/minio	required	object-store	no	yes
minio-mc	https://github.com/minio/mc.git	sources/object-store/minio-mc	important	object-store	no	yes
openstack-swift	https://opendev.org/openstack/swift.git	sources/object-store/openstack-swift	required	object-store	no	yes
apache-ozone	https://github.com/apache/ozone.git	sources/object-store/apache-ozone	required	object-store	no	yes
daos	https://github.com/daos-stack/daos.git	sources/object-store/daos	required	object-store	yes	yes
garage	https://git.deuxfleurs.fr/Deuxfleurs/garage.git	sources/object-store/garage	important	object-store	no	yes
rustfs	https://github.com/rustfs/rustfs.git	sources/object-store/rustfs	important	object-store	no	yes
rook	https://github.com/rook/rook.git	sources/control-plane/rook	important	control-plane	no	yes
longhorn	https://github.com/longhorn/longhorn.git	sources/control-plane/longhorn	important	control-plane	no	yes
ceph-csi	https://github.com/ceph/ceph-csi.git	sources/control-plane/ceph-csi	important	control-plane	no	yes
beegfs-csi-driver	https://github.com/ThinkParQ/beegfs-csi-driver.git	sources/control-plane/beegfs-csi-driver	important	control-plane	no	yes
juicefs-csi-driver	https://github.com/juicedata/juicefs-csi-driver.git	sources/control-plane/juicefs-csi-driver	important	control-plane	no	yes
csi-spec	https://github.com/container-storage-interface/spec.git	sources/control-plane/csi-spec	important	control-plane	no	no
mayastor	https://github.com/openebs/mayastor.git	sources/control-plane/mayastor	important	control-plane	no	no
csi-driver-nfs	https://github.com/kubernetes-csi/csi-driver-nfs.git	sources/control-plane/csi-driver-nfs	important	control-plane	no	no
csi-driver-smb	https://github.com/kubernetes-csi/csi-driver-smb.git	sources/control-plane/csi-driver-smb	important	control-plane	no	no
csi-driver-iscsi	https://github.com/kubernetes-csi/csi-driver-iscsi.git	sources/control-plane/csi-driver-iscsi	important	control-plane	no	no
longhorn-engine	https://github.com/longhorn/longhorn-engine.git	sources/control-plane/longhorn-engine	important	control-plane	no	no
csi-driver-host-path	https://github.com/kubernetes-csi/csi-driver-host-path.git	sources/control-plane/csi-driver-host-path	adjacent	control-plane	no	no
external-snapshotter	https://github.com/kubernetes-csi/external-snapshotter.git	sources/control-plane/external-snapshotter	adjacent	control-plane	no	no
csi-lib-utils	https://github.com/kubernetes-csi/csi-lib-utils.git	sources/control-plane/csi-lib-utils	adjacent	control-plane	no	no
fuse-overlayfs	https://github.com/containers/fuse-overlayfs.git	sources/cloud-native/fuse-overlayfs	required	cloud-native	no	yes
overlayfs-tools	https://github.com/kmxz/overlayfs-tools.git	sources/cloud-native/overlayfs-tools	important	cloud-native	no	yes
fuse-overlayfs-snapshotter	https://github.com/containerd/fuse-overlayfs-snapshotter.git	sources/cloud-native/fuse-overlayfs-snapshotter	important	cloud-native	no	yes
containers-storage	https://github.com/containers/storage.git	sources/cloud-native/containers-storage	required	cloud-native	no	yes
containerd	https://github.com/containerd/containerd.git	sources/cloud-native/containerd	required	cloud-native	no	yes
stargz-snapshotter	https://github.com/containerd/stargz-snapshotter.git	sources/cloud-native/stargz-snapshotter	important	cloud-native	no	yes
nydus	https://github.com/dragonflyoss/nydus.git	sources/cloud-native/nydus	important	cloud-native	no	yes
nydus-snapshotter	https://github.com/containerd/nydus-snapshotter.git	sources/cloud-native/nydus-snapshotter	important	cloud-native	no	yes
soci-snapshotter	https://github.com/awslabs/soci-snapshotter.git	sources/cloud-native/soci-snapshotter	important	cloud-native	no	yes
composefs	https://github.com/composefs/composefs.git	sources/cloud-native/composefs	important	cloud-native	no	yes
composefs-rs	https://github.com/composefs/composefs-rs.git	sources/cloud-native/composefs-rs	important	cloud-native	no	yes
moby	https://github.com/moby/moby.git	sources/cloud-native/moby	adjacent	cloud-native	no	no
buildkit	https://github.com/moby/buildkit.git	sources/cloud-native/buildkit	adjacent	cloud-native	no	no
cri-o	https://github.com/cri-o/cri-o.git	sources/cloud-native/cri-o	adjacent	cloud-native	no	no
overlaybd	https://github.com/containerd/overlaybd.git	sources/cloud-native/overlaybd	adjacent	cloud-native	no	no
ostree	https://github.com/ostreedev/ostree.git	sources/cloud-native/ostree	required	cloud-native	no	yes
qemu	https://gitlab.com/qemu-project/qemu.git	sources/virtualization/qemu	required	virtualization	no	yes
virtiofsd	https://gitlab.com/virtio-fs/virtiofsd.git	sources/virtualization/virtiofsd	important	virtualization	no	yes
spdk	https://github.com/spdk/spdk.git	sources/virtualization/spdk	required	virtualization	yes	yes
nbd	https://github.com/NetworkBlockDevice/nbd.git	sources/virtualization/nbd	important	virtualization	no	yes
nbdkit	https://gitlab.com/nbdkit/nbdkit.git	sources/virtualization/nbdkit	important	virtualization	no	yes
libnbd	https://gitlab.com/nbdkit/libnbd.git	sources/virtualization/libnbd	important	virtualization	no	yes
open-iscsi	https://github.com/open-iscsi/open-iscsi.git	sources/virtualization/open-iscsi	important	virtualization	no	no
libguestfs	https://github.com/libguestfs/libguestfs.git	sources/virtualization/libguestfs	important	virtualization	no	yes
guestfs-tools	https://github.com/libguestfs/guestfs-tools.git	sources/virtualization/guestfs-tools	important	virtualization	no	yes
libblockdev	https://github.com/storaged-project/libblockdev.git	sources/virtualization/libblockdev	important	virtualization	no	yes
nvme-cli	https://github.com/linux-nvme/nvme-cli.git	sources/virtualization/nvme-cli	important	virtualization	no	yes
xfstests	https://git.kernel.org/pub/scm/fs/xfs/xfstests-dev.git	sources/test-tools/xfstests	required	test-tools	no	yes
xfstests-bld	https://github.com/tytso/xfstests-bld.git	sources/test-tools/xfstests-bld	important	test-tools	no	no
blktests	https://github.com/osandov/blktests.git	sources/test-tools/blktests	required	test-tools	no	yes
fio	https://github.com/axboe/fio.git	sources/test-tools/fio	required	test-tools	no	yes
ltp	https://github.com/linux-test-project/ltp.git	sources/test-tools/ltp	required	test-tools	no	yes
pjdfstest	https://github.com/pjd/pjdfstest.git	sources/test-tools/pjdfstest	important	test-tools	no	yes
crashmonkey	https://github.com/utsaslab/crashmonkey.git	sources/test-tools/crashmonkey	important	test-tools	no	no
filebench	https://github.com/filebench/filebench.git	sources/test-tools/filebench	important	test-tools	no	no
fs-mark	https://github.com/josefbacik/fs_mark.git	sources/test-tools/fs-mark	important	test-tools	no	no
ior	https://github.com/hpc/ior.git	sources/test-tools/ior	important	test-tools	no	no
unionmount-testsuite	https://github.com/amir73il/unionmount-testsuite.git	sources/test-tools/unionmount-testsuite	important	test-tools	no	no
pynfs	https://github.com/linux-nfs/pynfs.git	sources/test-tools/pynfs	important	test-tools	no	no
cthon04	https://github.com/phdeniel/cthon04.git	sources/test-tools/cthon04	important	test-tools	no	no
kdevops	https://github.com/linux-kdevops/kdevops.git	sources/test-tools/kdevops	important	test-tools	no	no
liburing	https://github.com/axboe/liburing.git	sources/test-tools/liburing	important	test-tools	no	no
mtd-utils	https://git.kernel.org/pub/scm/linux/kernel/git/rw/mtd-utils.git	sources/local-fs/mtd-utils	important	local-fs	no	yes
strace	https://github.com/strace/strace.git	sources/test-tools/strace	important	test-tools	no	no
lcov	https://github.com/linux-test-project/lcov.git	sources/test-tools/lcov	important	test-tools	no	no
stress-ng	https://github.com/ColinIanKing/stress-ng.git	sources/test-tools/stress-ng	important	test-tools	no	no
iozone	https://github.com/pantheon-systems/iozone.git	sources/test-tools/iozone	important	test-tools	no	no
fscrypt	https://github.com/google/fscrypt.git	sources/security-integrity/fscrypt	required	security-integrity	no	yes
fsverity-utils	https://git.kernel.org/pub/scm/fs/fsverity/fsverity-utils.git	sources/security-integrity/fsverity-utils	required	security-integrity	no	yes
ecryptfs-utils	https://github.com/dustinkirkland/ecryptfs-utils.git	sources/security-integrity/ecryptfs-utils	important	security-integrity	no	yes
gocryptfs	https://github.com/rfjakob/gocryptfs.git	sources/security-integrity/gocryptfs	important	security-integrity	no	yes
cryfs	https://github.com/cryfs/cryfs.git	sources/security-integrity/cryfs	important	security-integrity	no	yes
encfs	https://github.com/vgough/encfs.git	sources/security-integrity/encfs	important	security-integrity	no	yes
ima-evm-utils	https://github.com/linux-integrity/ima-evm-utils.git	sources/security-integrity/ima-evm-utils	important	security-integrity	no	yes
acl	https://git.savannah.nongnu.org/git/acl.git	sources/security-integrity/acl	important	security-integrity	no	yes
attr	https://git.savannah.nongnu.org/git/attr.git	sources/security-integrity/attr	important	security-integrity	no	yes
libcap	https://git.kernel.org/pub/scm/libs/libcap/libcap.git	sources/security-integrity/libcap	important	security-integrity	no	yes
keyutils	https://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git	sources/security-integrity/keyutils	important	security-integrity	no	yes
selinux	https://github.com/SELinuxProject/selinux.git	sources/security-integrity/selinux	important	security-integrity	no	yes
audit-userspace	https://github.com/linux-audit/audit-userspace.git	sources/security-integrity/audit-userspace	important	security-integrity	no	yes
rsync	https://github.com/RsyncProject/rsync.git	sources/sync-backup/rsync	required	sync-backup	no	yes
syncthing	https://github.com/syncthing/syncthing.git	sources/sync-backup/syncthing	required	sync-backup	no	yes
restic	https://github.com/restic/restic.git	sources/sync-backup/restic	important	sync-backup	no	yes
borg	https://github.com/borgbackup/borg.git	sources/sync-backup/borg	important	sync-backup	no	yes
kopia	https://github.com/kopia/kopia.git	sources/sync-backup/kopia	important	sync-backup	no	yes
git-annex	https://git.joeyh.name/git/git-annex.git	sources/sync-backup/git-annex	important	sync-backup	no	yes
casync	https://github.com/systemd/casync.git	sources/sync-backup/casync	important	sync-backup	no	no
unison	https://github.com/bcpierce00/unison.git	sources/sync-backup/unison	important	sync-backup	no	yes
git-lfs	https://github.com/git-lfs/git-lfs.git	sources/sync-backup/git-lfs	important	sync-backup	no	yes
git-crypt	https://github.com/AGWA/git-crypt.git	sources/sync-backup/git-crypt	important	sync-backup	no	no
bup	https://github.com/bup/bup.git	sources/sync-backup/bup	adjacent	sync-backup	no	no
zstd	https://github.com/facebook/zstd.git	sources/compression/zstd	adjacent	compression	no	no
xz	https://github.com/tukaani-project/xz.git	sources/compression/xz	adjacent	compression	no	no
lz4	https://github.com/lz4/lz4.git	sources/compression/lz4	adjacent	compression	no	no
zlib	https://github.com/madler/zlib.git	sources/compression/zlib	adjacent	compression	no	no
syzkaller	https://github.com/google/syzkaller.git	sources/test-tools/syzkaller	adjacent	test-tools	no	no
rocksdb	https://github.com/facebook/rocksdb.git	sources/storage-engines/rocksdb	adjacent	storage-engines	no	no
leveldb	https://github.com/google/leveldb.git	sources/storage-engines/leveldb	adjacent	storage-engines	no	no
pebble	https://github.com/cockroachdb/pebble.git	sources/storage-engines/pebble	adjacent	storage-engines	no	no
badger	https://github.com/dgraph-io/badger.git	sources/storage-engines/badger	adjacent	storage-engines	no	no
wiredtiger	https://github.com/wiredtiger/wiredtiger.git	sources/storage-engines/wiredtiger	adjacent	storage-engines	no	no
sqlite	https://github.com/sqlite/sqlite.git	sources/storage-engines/sqlite	adjacent	storage-engines	no	no
lmdb	https://github.com/LMDB/lmdb.git	sources/storage-engines/lmdb	adjacent	storage-engines	no	no
foundationdb	https://github.com/apple/foundationdb.git	sources/storage-engines/foundationdb	adjacent	storage-engines	no	no
tikv	https://github.com/tikv/tikv.git	sources/storage-engines/tikv	adjacent	storage-engines	no	no
raft-engine	https://github.com/tikv/raft-engine.git	sources/storage-engines/raft-engine	adjacent	storage-engines	no	no
xnu	https://github.com/apple-oss-distributions/xnu.git	sources/os/darwin/xnu	important	os-vfs	no	yes
macfuse	https://github.com/macfuse/macfuse.git	sources/user-network-fs/macfuse	important	user-network-fs	no	yes
ocfs2-tools	https://github.com/markfasheh/ocfs2-tools.git	sources/local-fs/ocfs2-tools	important	local-fs	no	yes
gfs2-utils	https://pagure.io/gfs2-utils.git	sources/local-fs/gfs2-utils	important	local-fs	no	yes
dlm	https://pagure.io/dlm.git	sources/local-fs/dlm	important	local-fs	no	no
libtirpc	git://linux-nfs.org/~steved/libtirpc	sources/user-network-fs/libtirpc	important	user-network-fs	no	no
rpcbind	git://linux-nfs.org/~steved/rpcbind	sources/user-network-fs/rpcbind	important	user-network-fs	no	no
